Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1764196712,2025-11-26T22:38:32Z,UBT795,"38.198673,0.090995",34975,556,183
1764196743,2025-11-26T22:39:03Z,UBT795,"38.120865,0.084151",35000,556,183
1764196774,2025-11-26T22:39:34Z,UBT795,"38.039417,0.077024",34975,556,183
1764196805,2025-11-26T22:40:05Z,UBT795,"37.960884,0.070157",34975,555,183
1764196836,2025-11-26T22:40:36Z,UBT795,"37.882023,0.063231",35000,554,183
1764196868,2025-11-26T22:41:08Z,UBT795,"37.799068,0.056006",35000,555,183
1764196899,2025-11-26T22:41:39Z,UBT795,"37.718628,0.049029",35000,557,183
1764196930,2025-11-26T22:42:10Z,UBT795,"37.640137,0.042333",34975,558,183
1764196962,2025-11-26T22:42:42Z,UBT795,"37.558365,0.035238",35000,558,184
1764196992,2025-11-26T22:43:12Z,UBT795,"37.481232,0.028576",34975,555,183
1764197024,2025-11-26T22:43:44Z,UBT795,"37.398579,0.021376",35000,554,184
1764197056,2025-11-26T22:44:16Z,UBT795,"37.314926,0.014259",34975,553,183
1764197087,2025-11-26T22:44:47Z,UBT795,"37.237427,0.007655",34975,551,183
1764197118,2025-11-26T22:45:18Z,UBT795,"37.158184,0.000896",35000,552,183
1764197151,2025-11-26T22:45:51Z,UBT795,"37.074669,-0.006389",35000,550,184
1764197181,2025-11-26T22:46:21Z,UBT795,"36.998703,-0.010402",34975,549,178
1764197194,2025-11-26T22:46:34Z,UBT795,"36.965504,-0.007404",35000,548,173
1764197196,2025-11-26T22:46:36Z,UBT795,"36.959198,-0.006428",35000,548,172
1764197198,2025-11-26T22:46:38Z,UBT795,"36.953911,-0.005493",35000,548,172
